Player,TWR,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
,38,5,0,3,0.6,0,0.2,1,0,532.7,170.1,339.3,0,106.5,1322.1,264.4,165.4,1138.2,0.5,0,1,1,3,0,9,4,0,0,0,1,11,0,2,23.3,1,0,0,0,20,0,3,10,1,1,0,5.4,25.1,1:36:20,0:19:16,8,782.1,23,1
0070_Teor,51,5,4,1,1,0.8,0.6,3,1.3,558.1,317.1,28.4,122.3,111.6,1154,230.8,332.4,703.1,0.8,4,3,1,0,1,4,0,3,117.3,0,0,12,2,2,0,3,0,3,0,27,3,11,15,1,4,0,4.6,32.2,1:25:50,0:17:10,14,654,12,1
0070_Teor,57,5,4,1,1,0.8,0.4,5,0.8,1163.9,538.6,498.2,0,232.8,1404.1,280.8,185.8,1135.7,1,2,0,0,1,4,3,2,1,24.8,0,0,15,1,3,27.2,4,0,0,0,31,4,5,17,0,2,0,6.4,34.7,1:44:19,0:20:51,16,884.1,26,0
0070_Teor,62,5,4,3,1.4,0.8,0.8,5,0.8,902.5,511,356.4,0,180.5,1074,214.8,164.7,849,1.1,1,1,3,1,0,6,1,1,273,0,2,13,0,4,35,4,0,1,0,27,5,5,13,2,0,0,6.1,35.6,1:33:14,0:18:38,10,564,21,2
0070_Teor,40,5,2,0,0.4,0.4,0.2,2,1,588.8,316.8,231.2,0,117.8,847.4,169.5,0,798.4,0.7,0,1,0,2,2,4,1,0,8.6,0,0,11,0,6,40.8,3,1,1,0,12,0,4,11,0,2,0,4.1,16.1,1:31:38,0:18:19,4,337.4,10,1
0070_Teor,44,5,2,3,1,0.4,0.4,2,1,475,256.6,128.5,0,95,768.5,153.7,29.4,708.4,0.7,1,0,3,2,0,4,0,1,177.5,0,0,15,0,5,89.9,3,0,0,0,14,0,2,9,0,5,0,3.9,19.5,1:19:41,0:15:56,2,268.5,19,0
0070_Teor,45,5,4,1,1,0.8,0.2,4,1,665.9,412.7,234.8,0,133.2,871.3,174.3,5,803.4,0.8,0,2,2,0,1,5,2,1,283.7,0,1,12,0,4,18.4,3,0,1,0,17,0,6,15,3,2,0,5.2,11.9,1:11:07,0:14:13,4,351.3,25,0
0070_Teor,46,5,2,1,0.6,0.4,0.4,1,2,702.7,173,398.6,0,140.5,1270.6,254.1,39.4,1166.3,0.6,2,2,0,1,2,3,0,1,172.8,1,0,11,2,3,53.7,6,1,3,21,14,3,5,9,1,4,0,3.2,19.2,1:30:33,0:18:06,20,770.6,22,0
0070_Teor,40,5,1,2,0.6,0.2,0.4,2,0.5,398.6,235.2,142.1,0,79.7,634.8,127,0,603.1,0.7,0,2,1,2,0,6,1,0,42.8,0,0,15,2,6,21.3,2,1,0,0,16,1,4,6,2,1,0,5,19.3,1:50:46,0:22:09,1,124.8,23,0
0070_Teor,49,5,3,1,0.8,0.6,0.6,3,1,530.7,163.3,158.9,0,106.1,1071.2,214.2,25,958.7,0.6,1,0,2,0,3,3,1,2,193.5,0,0,13,3,6,130.5,3,0,2,0,18,2,6,8,1,2,0,5,20.1,1:51:19,0:22:15,6,561.2,19,0
